"01" "03" "05" "07" "09" "12" "24" "MM"
"011" 1 1 1 1 1 1 1 NA
"012" 2 2 1 2 1 2 2 NA
"016" 2 1 1 2 1 NA 2 NA
"023" 1 2 2 1 2 3 2 NA
"025" 1 1 2 1 2 1 2 NA
"027" 1 2 2 2 2 1 1 NA
"029" 1 2 2 1 2 1 1 NA
"031" 2 1 1 2 1 1 2 NA
"034" 2 1 1 2 3 2 2 NA
"036" 1 2 2 1 3 3 2 NA
"043" 1 2 2 1 3 3 1 NA
"044" 1 2 2 1 1 2 2 NA
"045" 2 1 1 2 NA 3 2 NA
"046" 1 2 2 1 3 1 2 NA
"063" 2 1 1 2 NA 1 1 NA
"064" 1 2 2 1 3 3 2 NA
"071" 1 2 1 1 2 2 1 NA
"075" 1 2 2 1 3 1 1 NA
"076" 1 2 2 1 2 NA 1 NA
"082" 2 1 1 2 1 NA 2 NA
"086" 1 2 2 1 3 2 2 NA
"102" 1 2 2 1 3 3 2 NA
"105" 1 1 2 2 2 2 2 NA
"106" 1 2 2 1 2 1 2 NA
"107" 1 1 2 2 3 1 2 NA
"114" 1 2 2 1 3 3 2 NA
"115" 2 1 1 1 3 NA 2 NA
"171" NA NA NA NA NA NA NA 1
"172" NA NA NA NA NA NA NA 1
"173" NA NA NA NA NA NA NA 1
"174" NA NA NA NA NA NA NA 1
"175" NA NA NA NA NA NA NA 1
"176" NA NA NA NA NA NA NA 1
"177" NA NA NA NA NA NA NA 2
"178" NA NA NA NA NA NA NA 1
"179" NA NA NA NA NA NA NA 1
"181" NA NA NA NA NA NA NA 2
"182" NA NA NA NA NA NA NA 1
"183" NA NA NA NA NA NA NA 1
"184" NA NA NA NA NA NA NA 1
"185" NA NA NA NA NA NA NA 1
"186" NA NA NA NA NA NA NA 1
"187" NA NA NA NA NA NA NA 1
"188" NA NA NA NA NA NA NA 1
"190" NA NA NA NA NA NA NA 1
"191" NA NA NA NA NA NA NA 1
"192" NA NA NA NA NA NA NA 1
"193" NA NA NA NA NA NA NA 2
"194" NA NA NA NA NA NA NA 1
"195" NA NA NA NA NA NA NA 1
"196" NA NA NA NA NA NA NA 2
"197" NA NA NA NA NA NA NA 1
"199" NA NA NA NA NA NA NA 1
"200" NA NA NA NA NA NA NA 1
"201" NA NA NA NA NA NA NA 2
"202" NA NA NA NA NA NA NA 1
"203" NA NA NA NA NA NA NA 1
"204" NA NA NA NA NA NA NA 1
"205" NA NA NA NA NA NA NA 1
"206" NA NA NA NA NA NA NA 1
"207" NA NA NA NA NA NA NA 1
"208" NA NA NA NA NA NA NA 1
"209" NA NA NA NA NA NA NA 1
"210" NA NA NA NA NA NA NA 1
"211" NA NA NA NA NA NA NA 1
"212" NA NA NA NA NA NA NA 1
"213" NA NA NA NA NA NA NA 1
"214" NA NA NA NA NA NA NA 1
"216" NA NA NA NA NA NA NA 1
"217" NA NA NA NA NA NA NA 1
"218" NA NA NA NA NA NA NA 1
"219" NA NA NA NA NA NA NA 1
"220" NA NA NA NA NA NA NA 1
"221" NA NA NA NA NA NA NA 1
"222" NA NA NA NA NA NA NA 2
"223" NA NA NA NA NA NA NA 1
"224" NA NA NA NA NA NA NA 1
"226" NA NA NA NA NA NA NA 1
"227" NA NA NA NA NA NA NA 1
"228" NA NA NA NA NA NA NA 2
"229" NA NA NA NA NA NA NA 1
"232" NA NA NA NA NA NA NA 1
